anno,infanzia,primaria,secondaria,universita
1966/67,1365,4556,3193,456
1967/68,1409,4620,3325,500
1968/69,1435,4673,3483,550
1969/70,1560,4750,3633,617
1970/71,1587,4857,3764,682
1971/72,1620,4926,4019,760
1972/73,1666,4974,4242,803
1973/74,1735,4970,4446,840
1974/75,1766,4927,4620,887
1975/76,1823,4835,4876,936
1976/77,1866,4735,5068,981
1977/78,1894,4649,5209,996
1978/79,1917,4562,5270,1033
1979/80,1902,4507,5297,1036
1980/81,1870,4423,5308,1048
1981/82,1805,4333,5302,1025
1982/83,1757,4204,5320,1022
1983/84,1696,4063,5325,1055
1984/85,1649,3904,5340,1107
1985/86,1661,3703,5362,1113
1986/87,1632,3518,5360,1086
1987/88,1587,3371,5338,1153
1988/89,1580,3242,5302,1223
1989/90,1590,3164,5235,1292
1990/91,1575,3070,5118,1381
1991/92,1573,3005,5009,1475
1992/93,1585,2939,4878,1572
1993/94,1578,2863,4776,1620
1994/95,1578,2816,4674,1656
1995/96,1583,2816,4595,1686
1996/97,1578,2810,4501,1672
1997/98,1585,2816,4402,1677
1998/99(c),1578,2833,4314,1677
1999/00,1583,2821,4310,1685
2000/01,1567,2804,4343,1687
2001/02,1596,2773,4378,1703
2002/03,1623,2761,4413,1774
2003/04,1644,2768,4439,1803
2004/05,1655,2771,4446,1800
2005/06,1662,2790,4457,1796
2006/07(d),1653,2820,4465,1781
2007/08,1655,2830,4475,1799
2008/09,1652,2819,4482,1777
2009/10,1681,2822,4465,1668
2010/11,1688,2828,4450,1782
2011/12,1695,2819,4448,1751
2012/13,1686,2825,4432,1709
2013/14,1664,2827,4429,1677
